PPFD,R:B,CLED,Pn,Model,Algorithm
52.98394391157953,0.8741543451318192,0.003969115791357083,2.7320273095472896,LSSVR,NSGA2
58.5053741444253,0.8741659067052149,0.004376948065984258,3.0565970685169592,LSSVR,NSGA2
74.57347186707014,0.8743324759524075,0.005578894822697758,3.9843528818206373,LSSVR,NSGA2
85.84867275300586,0.8962766723567933,0.006399393395338349,4.6041266795363125,LSSVR,NSGA2
105.11678548964096,0.8747614295233703,0.007863311076690034,5.6711161948586994,LSSVR,NSGA2
106.70339076656413,0.8747729910967659,0.007981982763277799,5.755734351515757,LSSVR,NSGA2
122.89015340302879,0.875276559943624,0.009192083094323438,6.601216934279369,LSSVR,NSGA2
125.69055393595738,0.8739555302206647,0.009403578555817194,6.742567163290099,LSSVR,NSGA2
136.8197816699998,0.8741659067052149,0.010235863673667347,7.299532054567335,LSSVR,NSGA2
142.28109951931518,0.8887813568422037,0.010619043580531864,7.573481096578673,LSSVR,NSGA2
155.81533610745842,0.8900023232814489,0.011626837762378411,8.219258436790273,LSSVR,NSGA2
167.60247962993796,0.8869203526129992,0.012512695006756253,8.761863918628585,LSSVR,NSGA2
180.70019599608736,0.8737624257287318,0.01351956822746836,9.324188453315351,LSSVR,NSGA2
194.30142020631183,0.8767862759628545,0.014530004725712555,9.901800059434276,LSSVR,NSGA2
207.4896607986067,0.9077001519668652,0.015437895330808173,10.40241836358032,LSSVR,NSGA2
215.4689605720038,0.9077001519668652,0.0160315807687769,10.708952846278848,LSSVR,NSGA2
228.76227515426243,0.8887810837311048,0.017073501938682793,11.239745402066887,LSSVR,NSGA2
253.66755850345487,0.9165816571161288,0.018846164181510888,11.992748417122577,LSSVR,NSGA2
272.9456965916445,0.9092581790890273,0.020302840344262506,12.626315406121288,LSSVR,NSGA2
305.9692765926055,0.9435455591968763,0.022631150381362243,13.152349433362508,LSSVR,NSGA2
314.5959116938295,0.8887810837311048,0.023479631226033366,13.78929087073169,LSSVR,NSGA2
345.22763466883447,0.8955399248064793,0.02573731069007604,14.449662297612697,LSSVR,NSGA2
356.6115756026363,0.8901963399417174,0.026609275196856907,14.679513240628589,LSSVR,NSGA2
390.60596332729483,0.8888370846555851,0.02915231745540254,15.25744233829134,LSSVR,NSGA2
405.3048982748316,0.8962643149224391,0.030212587733046442,15.454851938080811,LSSVR,NSGA2
413.2842000099287,0.8962643149224391,0.03080738772232997,15.562526595027924,LSSVR,NSGA2
433.07703895813904,0.8747680894933805,0.03239649663093393,15.81094886401886,LSSVR,NSGA2
446.2502561482537,0.8796688729126246,0.03335521546045815,15.973920341547787,LSSVR,NSGA2
490.1759684703703,0.8641036450548955,0.03673164535855182,16.327542350126123,LSSVR,NSGA2
534.72076034745,0.8887813568422037,0.03990848293963821,16.71283173744077,LSSVR,NSGA2
