# T6nc:4,3,300-fnyq:4,4,150-l6vs:4,5,60,10mf
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir
1,2025-07-24 18:50:08.327,T6ncwg==,18.88,43.98,0.062,3.770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2025-07-24 18:50:08.337,T6ncwg==,18.93,44.00,0.060,3.748,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2025-07-24 18:50:08.383,fnYQCQ==,18.87,41.63,0.134,3.455,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,2025-07-24 18:50:08.391,fnYQCQ==,18.87,41.66,0.134,3.446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2025-07-24 18:50:08.393,fnYQCQ==,18.87,41.69,0.157,3.423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,2025-07-24 18:50:08.488,L_6vSQ==,18.44,41.95,0.036,3.600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,2025-07-24 18:50:08.495,L_6vSQ==,18.47,41.91,0.037,3.592,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,2025-07-24 18:50:08.497,L_6vSQ==,18.49,42.18,0.037,3.580,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,2025-07-24 18:50:08.499,L_6vSQ==,18.49,41.89,0.037,3.578,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,2025-07-24 18:50:08.501,L_6vSQ==,18.51,41.96,0.036,3.574,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2025-07-24 18:50:08.503,L_6vSQ==,18.51,42.07,0.036,3.567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,2025-07-24 18:50:08.505,L_6vSQ==,18.49,41.90,0.036,3.554,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,2025-07-24 18:50:24.005,L_6vSQ==,18.49,41.96,0.036,3.542,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2025-07-24 18:51:11.784,L_6vSQ==,18.47,42.04,0.037,3.540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2025-07-24 18:52:11.757,L_6vSQ==,18.49,42.23,0.037,3.529,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,2025-07-24 18:52:38.091,fnYQCQ==,18.74,41.90,0.135,3.413,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,2025-07-24 18:53:11.706,L_6vSQ==,18.44,42.38,0.036,3.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,2025-07-24 18:53:47.381,T6ncwg==,18.92,44.28,0.061,3.717,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,2025-07-24 18:54:11.695,L_6vSQ==,18.47,42.38,0.036,3.513,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,2025-07-24 18:55:08.043,fnYQCQ==,18.67,42.09,0.136,3.398,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,2025-07-24 18:55:11.673,L_6vSQ==,18.50,42.60,0.036,3.503,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,2025-07-24 18:56:11.681,L_6vSQ==,18.48,42.51,0.035,3.496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2025-07-24 18:57:11.759,L_6vSQ==,18.49,42.50,0.032,3.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,2025-07-24 18:57:37.983,fnYQCQ==,18.90,42.16,0.133,3.380,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,2025-07-24 18:58:11.729,L_6vSQ==,18.49,42.85,0.036,3.485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,2025-07-24 18:58:47.274,T6ncwg==,18.88,44.62,0.060,3.691,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,2025-07-24 18:59:11.641,L_6vSQ==,18.51,42.54,0.035,3.468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,2025-07-24 19:00:07.845,fnYQCQ==,18.89,42.37,0.136,3.371,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,2025-07-24 19:00:11.639,L_6vSQ==,18.50,42.68,0.036,3.463,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,2025-07-24 19:01:11.655,L_6vSQ==,18.49,42.55,0.036,3.460,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,2025-07-24 19:02:11.540,L_6vSQ==,18.52,42.60,0.037,3.453,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,2025-07-24 19:02:37.907,fnYQCQ==,18.87,42.33,0.135,3.349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,2025-07-24 19:03:11.593,L_6vSQ==,18.52,42.70,0.035,3.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,2025-07-24 19:03:47.210,T6ncwg==,19.10,44.82,0.063,3.667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
