PPFD,R:B,CLED,Pn,Model,Algorithm
51.515803142995345,0.8932851714986687,0.003969115791357083,2.6251621873229283,LSSVR,SPEA2
64.84119422444402,0.8932851714986687,0.00483580791015406,3.409042519919076,LSSVR,SPEA2
73.09196041205455,0.8927922313207618,0.005451583848352041,3.8863720206929653,LSSVR,SPEA2
82.80214278907562,0.8840238170129447,0.006184687303254013,4.44672448274984,LSSVR,SPEA2
93.84640100703945,0.8847854798403053,0.007008735964249977,5.060252066213126,LSSVR,SPEA2
104.82202507644706,0.8937061422712561,0.007817009198154245,5.648564991884962,LSSVR,SPEA2
114.21470613800847,0.8936425584592325,0.008517548665674777,6.147550573590149,LSSVR,SPEA2
127.77160859995607,0.8924615518243771,0.009530395930402152,6.848903876876177,LSSVR,SPEA2
137.7952519191757,0.8926933734043323,0.010277662389008412,7.35033048263017,LSSVR,SPEA2
155.60430516402278,0.8853839038966596,0.011619867353243624,8.210664635472595,LSSVR,SPEA2
176.45225335159623,0.8945637700551544,0.013156921162297195,9.14998312456113,LSSVR,SPEA2
193.6150646808582,0.8932399835546181,0.014439772848154028,9.881193931124088,LSSVR,SPEA2
207.22233837412207,0.8928066362412048,0.015455697249645557,10.428655484379025,LSSVR,SPEA2
231.885047321283,0.8787523397762556,0.017334968443069303,11.34141593576264,LSSVR,SPEA2
242.7005587713363,0.8921299226663174,0.018103849289729003,11.724261315005801,LSSVR,SPEA2
265.8767101696885,0.8932146908930881,0.01982911384713501,12.46787463567047,LSSVR,SPEA2
278.5908544593321,0.8835611963412369,0.020810180510252376,12.843736058733116,LSSVR,SPEA2
290.64917978057196,0.8929746268079876,0.021677499392518892,13.178762853800507,LSSVR,SPEA2
305.8899788456207,0.8936561451590171,0.022811658519095113,13.572803821690687,LSSVR,SPEA2
321.5615195443912,0.8853428209127583,0.02401300663824623,13.951216539854547,LSSVR,SPEA2
330.3630013409492,0.8847854798403053,0.024672516883542262,14.14771818533336,LSSVR,SPEA2
340.5344436393331,0.8941424851100361,0.025393236995834713,14.357758829010454,LSSVR,SPEA2
366.5106150074225,0.8934410106446209,0.027333388131812984,14.854568779541221,LSSVR,SPEA2
376.53711123029007,0.8848729169565395,0.02812053812669076,15.033287136614357,LSSVR,SPEA2
394.0594985719476,0.8842021049977772,0.02943237302598166,15.310158778533621,LSSVR,SPEA2
426.0911129019035,0.8943873691178827,0.031771818740297456,15.73103502162974,LSSVR,SPEA2
457.86188797175726,0.8937061422712561,0.034144640737171855,16.083043931964543,LSSVR,SPEA2
491.0526642162263,0.8848215034240023,0.03667309485992978,16.40225811229016,LSSVR,SPEA2
501.7142737480912,0.8860772916700901,0.03746163712971955,16.486163824384928,LSSVR,SPEA2
540.4239942079457,0.8934702942180922,0.04030319245536028,16.71283173744077,LSSVR,SPEA2
